calendar_day,avg_consumption,avg_weekday_consumption,avg_weekend_consumption
03-11,1423.2222222222222,1516.5,1236.6666666666667
03-12,1386.7777777777778,1512.8,1229.25
03-13,1416.4444444444443,1494.5,1260.3333333333333
03-14,1433.7777777777778,1480.2857142857142,1271.0
03-15,1465.7777777777778,1496.875,1217.0
03-16,1440.3333333333333,1492.7142857142858,1257.0
03-17,1399.5555555555557,1473.0,1252.6666666666667
03-18,1397.6666666666667,1463.0,1267.0
03-19,1360.6666666666667,1478.4,1213.5
03-20,1377.0,1441.3333333333333,1248.3333333333333
03-21,1418.4444444444443,1463.2857142857142,1261.5
03-22,1438.7777777777778,1471.75,1175.0
03-23,1409.0,1465.5714285714287,1211.0
03-24,1356.3333333333333,1436.1666666666667,1196.6666666666667
03-25,1309.6666666666667,1374.8333333333333,1179.3333333333333
03-26,1299.4444444444443,1432.8,1132.75
03-27,1324.3333333333333,1412.5,1148.0
03-28,1343.4444444444443,1394.142857142857,1166.0
03-29,1370.2222222222222,1400.125,1131.0
03-30,1332.888888888889,1390.0,1133.0
03-31,1294.3333333333333,1412.0,1059.0
04-01,1303.4444444444443,1365.6666666666667,1179.0
04-02,1245.0,1288.6,1190.5
04-03,1307.888888888889,1380.1666666666667,1163.3333333333333
04-04,1350.5555555555557,1416.4285714285713,1120.0
04-05,1365.111111111111,1398.75,1096.0
04-06,1364.6666666666667,1429.7142857142858,1137.0
04-07,1308.3333333333333,1401.0,1123.0
04-08,1301.3333333333333,1387.5,1129.0
04-09,1269.888888888889,1376.4,1136.75
04-10,1246.5555555555557,1278.3333333333333,1183.0
04-11,1332.0,1392.7142857142858,1119.5
04-12,1364.2222222222222,1411.0,990.0
04-13,1323.7777777777778,1370.0,1162.0
04-14,1263.3333333333333,1327.5,1135.0
04-15,1265.3333333333333,1332.6666666666667,1130.6666666666667
04-16,1264.5555555555557,1385.8,1113.0
04-17,1237.2222222222222,1288.3333333333333,1135.0
04-18,1278.5555555555557,1322.857142857143,1123.5
04-19,1317.4444444444443,1350.75,1051.0
04-20,1324.6666666666667,1393.857142857143,1082.5
04-21,1283.0,1391.0,1067.0
04-22,1252.3333333333333,1307.8333333333333,1141.3333333333333
04-23,1254.5555555555557,1344.6,1142.0
04-24,1289.111111111111,1355.0,1157.3333333333333
04-25,1332.2222222222222,1395.0,1112.5
04-26,1354.7777777777778,1395.875,1026.0
04-27,1328.0,1388.5714285714287,1116.0
04-28,1285.888888888889,1377.3333333333333,1103.0
04-29,1276.3333333333333,1350.6666666666667,1127.6666666666667
04-30,1225.5555555555557,1319.4,1108.25
05-01,1062.4444444444443,1055.5,1076.3333333333333
05-02,1286.3333333333333,1339.5714285714287,1100.0
05-03,1341.6666666666667,1381.75,1021.0
05-04,1334.5555555555557,1393.5714285714287,1128.0
05-05,1266.7777777777778,1347.5,1105.3333333333333
05-06,1276.6666666666667,1345.0,1140.0
05-07,1257.3333333333333,1366.4,1121.0
05-08,1270.888888888889,1346.3333333333333,1120.0
05-09,1281.111111111111,1332.7142857142858,1100.5
05-10,1291.4444444444443,1325.625,1018.0
05-11,1306.0,1364.857142857143,1100.0
05-12,1274.888888888889,1376.5,1071.6666666666667
05-13,1244.7777777777778,1307.6666666666667,1119.0
05-14,1227.888888888889,1327.8,1103.0
05-15,1258.6666666666667,1342.1666666666667,1091.6666666666667
05-16,1285.3333333333333,1334.857142857143,1112.0
05-17,1335.7777777777778,1371.375,1051.0
05-18,1285.111111111111,1336.2857142857142,1106.0
05-19,1250.111111111111,1342.1666666666667,1066.0
05-20,1226.888888888889,1297.0,1086.6666666666667
05-21,1182.3333333333333,1238.4,1112.25
05-22,1247.2222222222222,1309.5,1122.6666666666667
05-23,1300.888888888889,1359.142857142857,1097.0
05-24,1295.5555555555557,1325.5,1056.0
05-25,1258.111111111111,1313.7142857142858,1063.5
05-26,1197.0,1254.1666666666667,1082.6666666666667
05-27,1230.888888888889,1303.8333333333333,1085.0
05-28,1218.2222222222222,1329.6,1079.0
05-29,1219.6666666666667,1275.8333333333333,1107.3333333333333
05-30,1234.888888888889,1281.142857142857,1073.0
